np;fn;setn;pcode;gender;weight
1;d1p01M;S1_Dataset;p01;M;80
2;d1p02M;S1_Dataset;p02;M;102
3;d1p03M;S1_Dataset;p03;M;67
4;d1p04M;S1_Dataset;p04;M;91
5;d1p05M;S1_Dataset;p05;M;56
6;d1p06M;S1_Dataset;p06;M;74
7;d1p07M;S1_Dataset;p07;M;77
8;d1p08F;S1_Dataset;p08;F;61
9;d1p09F;S1_Dataset;p09;F;61
10;d1p10F;S1_Dataset;p10;F;61
11;d1p11F;S1_Dataset;p11;F;61
12;d1p12F;S1_Dataset;p12;F;61
13;d1p13F;S1_Dataset;p13;F;61
14;d1p14F;S1_Dataset;p14;F;61
15;d1p15F;S1_Dataset;p15;F;61
16;d1p16F;S1_Dataset;p16;F;61
17;d1p17F;S1_Dataset;p17;F;61
18;d1p18F;S1_Dataset;p18;F;61
19;d1p19F;S1_Dataset;p19;F;61
20;d1p20F;S1_Dataset;p20;F;61
21;d1p21F;S1_Dataset;p21;F;61
22;d1p22F;S1_Dataset;p22;F;61
23;d1p23F;S1_Dataset;p23;F;61
24;d1p24F;S1_Dataset;p24;F;61
25;d1p25F;S1_Dataset;p25;F;61
26;d1p26F;S1_Dataset;p26;F;61
27;d1p27F;S1_Dataset;p27;F;61
28;d1p28F;S1_Dataset;p28;F;61
29;d1p29F;S1_Dataset;p29;F;61
30;d1p30F;S1_Dataset;p30;F;61
31;d1p31F;S1_Dataset;p31;F;61
32;d1p32F;S1_Dataset;p32;F;61
33;d1p33F;S1_Dataset;p33;F;61
34;d1p34F;S1_Dataset;p34;F;61
35;d1p35F;S1_Dataset;p35;F;61
36;d1p36M;S1_Dataset;p36;M;56
37;d1p37M;S1_Dataset;p37;M;74
38;d1p38M;S1_Dataset;p38;M;77
39;d1p39M;S1_Dataset;p39;M;56
40;d1p40M;S1_Dataset;p40;M;74
41;d1p41M;S1_Dataset;p41;M;77
42;d1p42M;S1_Dataset;p42;M;56
43;d1p43M;S1_Dataset;p43;M;74
44;d1p44M;S1_Dataset;p44;M;77
45;d1p45M;S1_Dataset;p45;M;56
46;d1p46M;S1_Dataset;p46;M;74
47;d1p47M;S1_Dataset;p47;M;77
48;d1p48M;S1_Dataset;p48;M;74
49;d1p49F;S1_Dataset;p49;F;61
50;d1p50F;S1_Dataset;p50;F;61
51;d1p51F;S1_Dataset;p51;F;61
52;d1p52F;S1_Dataset;p52;F;61
53;d1p53F;S1_Dataset;p53;F;61
54;d1p54F;S1_Dataset;p54;F;61
55;d1p55F;S1_Dataset;p55;F;61
56;d1p56F;S1_Dataset;p56;F;61
57;d1p57F;S1_Dataset;p57;F;61
58;d1p58F;S1_Dataset;p58;F;61
59;d1p59F;S1_Dataset;p59;F;61
60;d1p60F;S1_Dataset;p60;F;61
61;d2p01F;S2_Dataset;p01;F;61
62;d2p02F;S2_Dataset;p02;F;61
63;d2p03F;S2_Dataset;p03;F;61
64;d2p04F;S2_Dataset;p04;F;61
65;d2p05F;S2_Dataset;p05;F;61
66;d2p06F;S2_Dataset;p06;F;61
67;d2p07F;S2_Dataset;p07;F;61
68;d2p08F;S2_Dataset;p08;F;61
69;d2p09F;S2_Dataset;p09;F;61
70;d2p10F;S2_Dataset;p10;F;61
71;d2p11F;S2_Dataset;p11;F;61
72;d2p12F;S2_Dataset;p12;F;61
73;d2p13F;S2_Dataset;p13;F;61
74;d2p14F;S2_Dataset;p14;F;61
75;d2p15F;S2_Dataset;p15;F;61
76;d2p16F;S2_Dataset;p16;F;61
77;d2p17F;S2_Dataset;p17;F;61
78;d2p18M;S2_Dataset;p18;M;96
79;d2p19M;S2_Dataset;p19;M;107
80;d2p20M;S2_Dataset;p20;M;56
81;d2p21M;S2_Dataset;p21;M;74
82;d2p22M;S2_Dataset;p22;M;77
83;d2p23F;S2_Dataset;p23;F;61
84;d2p24F;S2_Dataset;p24;F;61
85;d2p25F;S2_Dataset;p25;F;61
86;d2p26F;S2_Dataset;p26;F;61
87;d2p27F;S2_Dataset;p27;F;61
